;Purchase;Organisation;Price;Date
1569;"Восстановление нарушенного благоустройства территории по объекту: ""Тепловая сеть от участка тепловой сети от ТК-18Д-3'-7 до здания элеваторного узла и от ТК-18Д-3'-7-6-1 до здания по улице Декабрьских Событий, 119 до границы земельного участка с кадастровым номером 38:36:000020:1923""";"ПАО ""ИРКУТСКЭНЕРГО""";4284164;08.04.2020
1570;"Лот №2: Выполнение работ по плановому ремонту тепловых сетей на участке: ""Тепловые сети 12 коллектора, Резервная перемычка от ТК-49 до «ТНС-3(от ТК-6к-1 до ТК-6к-3, ул. Академическая, 60)инв №22130514 ;""Т/С ЧАЙКОВСКОГО,20(от ТК-86-15 до ТК-86-15-3, ул. Чайковского, 20)инв №00030091"" ; ""Т/С М/ПЕPВМ.АЛМАЗь .СИБИРЯКА, (от ТК-VI-10-4 до ТК-VI-10-6, мкр. Первомайский, 74)инв №00090596"" на филиале УТС Н-ИТЭЦ г.Иркутск";"ПАО ""ИРКУТСКЭНЕРГО""";4029221;07.04.2020
1571;Выполнение работ по восстановлению асфальтового покрытия и газона после устранения повреждений на тепловых сетях для филиала УТС ТЭЦ-9 в г.Ангарске;"ПАО ""ИРКУТСКЭНЕРГО""";3900000;08.04.2020
1572;Выполнение непредвиденных работ по восстановлению благоустройства территории после проведения ремонтов тепловых, водопроводных и канализационных сетей города Усть-Илимска;"ПАО ""ИРКУТСКЭНЕРГО""";3950000;08.04.2020
1573;Лот №2 Ремонт трубопроводов РС-5 на участках тепловой сети от ТК-5-1-15 до ТК-5-1-17 в г. Усолье-Сибирское;"ПАО ""ИРКУТСКЭНЕРГО""";3897253;07.04.2020
1574;"Лот №3: Оказание услуг по уборке производственных помещений (в труднодоступных местах и условиях действующего оборудования);";"ПАО ""ИРКУТСКЭНЕРГО""";3813435;25.03.2020
1575;Ремонт участков трубопроводов РС-30 и РС-11 в г. Усолье-Сибирское;"ПАО ""ИРКУТСКЭНЕРГО""";3634159;07.04.2020
1576;"Лот №3: Выполнение работ по плановому ремонту тепловых сетей на участке: ""Тепловые сети 2 коллектора от ТК-1Б до ТК-3Б по ул. Сурикова(От ТК-3Б до ул.Марата,2)инв №22130323"";""Т/С УЛ.К.МАРКСА1. УЛ.СВЕРД19, (от ТК-11Б-3 до ТК-11Б-5)инв №00014024"" ;""Т/С КИР. ТРЕСТА ДОМОУПP 1,2,3 по ул Грязнова 5, (От ТК-24В до Итп по ул.Фурье,15)инв №00090192"" на филиале УТС Н-ИТЭЦ г.Иркутск";"ПАО ""ИРКУТСКЭНЕРГО""";4181667;07.04.2020
1577;Выполнение работ по ремонту дорожного полотна на филиале ТЭЦ-10 в г. Ангарске;"ПАО ""ИРКУТСКЭНЕРГО""";3264043;08.04.2020
1578;Выполнение строительно-монтажных работ по объекту: «Сооружения для передачи паро-вых нагрузок, химически очищенной воды и возврата конденсата с участка №1 ТЭЦ-9 на участок ТЭЦ-9. Трубопроводы пара, ХОВ, возврата конденсата» (Усиление конструкций эстакад. Дренажные колодцы. Восстановление благоустройства);"ПАО ""ИРКУТСКЭНЕРГО""";50270300;08.04.2020
1579;Ремонт объектов энергетики;"Федеральное государственное унитарное предприятие ""Российский Федеральный Ядерный Центр - Всероссийский научно-исследовательский институт технической физики имени академика Е.И.Забабахина""";24858350;12.05.2020
1580;"Лот №8: Оказание услуг по уборке производственных, служебно-бытовых помещений и территории, включая услуги прачечной;";"ПАО ""ИРКУТСКЭНЕРГО""";25910562;25.03.2020
1581;"Лот №2: Оказание услуг по уборке производственных, служебно-бытовых помещений;";"ПАО ""ИРКУТСКЭНЕРГО""";25765587;25.03.2020
1582;"Выполнение строительно-монтажных работ по объекту: ""Тепловая сеть №29/2015/500-17-2018 до границы земельного участка Заявителя""";"ПАО ""ИРКУТСКЭНЕРГО""";21923647;10.04.2020
1583;Лот №15: Оказание услуг по уборке производственных, административных и бытовых помещений филиала У-ИТЭЦ в г. Усть-Илимске.;"ПАО ""ИРКУТСКЭНЕРГО""";24452532;25.03.2020
1584;"Лот №9: Оказание услуг по уборке производственных, служебно-бытовых помещений и территории, включая услуги прачечной;";"ПАО ""ИРКУТСКЭНЕРГО""";23692376;25.03.2020
1585;"Выполнение строительно-монтажных работ по объекту: ""ЗДАНИЕ ГЛАВНОГО КОРПУСА (инв. №1710000004). Модернизация. Замена кровельного покрытия машинного зала в осях 28-63""";"ПАО ""ИРКУТСКЭНЕРГО""";18292728;08.04.2020
1586;"Выполнение строительно-монтажных работ по объекту: ""Тепловые сети 11 коллектора от Ново-Иркутской ТЭЦ, переход по Ангарскому мосту (от ТП-11 до ТК-161) инв. №22130461. Техническое перевооружение участков обходов русловых опор под Глазковским мостом""";"ПАО ""ИРКУТСКЭНЕРГО""";17269263;16.04.2020
1587;"Лот №7: Оказание услуг по уборке производственных, служебно-бытовых помещений и территории на филиале ПАО «Иркутскэнерго» ТЭЦ-6 в г.Братске;";"ПАО ""ИРКУТСКЭНЕРГО""";14967000;25.03.2020
1588;"Лот №6: Оказание услуг по уборке производственных, служебно-бытовых помещений на филиале ТЭЦ-6 ТИиТС в г. Братске;";"ПАО ""ИРКУТСКЭНЕРГО""";16400000;25.03.2020
1589;Выполнение работ по восстановлению нарушенного благоустройства после проведения аварийных работ в период с 01.11.2019 по 01.11.2020 Свердловский округ на филиале УТС Н-ИТЭЦ г.Иркутск;"ПАО ""ИРКУТСКЭНЕРГО""";12000000;08.04.2020
1590;Выполнение работ по ремонту внутриквартальной тепловой сети 13 микрорайона РТС-1 с восстановлением благоустройства на филиале ТЭЦ-6 ТИиТС в г. Братске (Центральный район);"ПАО ""ИРКУТСКЭНЕРГО""";14302335;07.04.2020
1591;"Выполнение строительно-монтажных работ по объекту: ""Тепловая сеть от 4ТК-11' до ТК-37Д'-12-11-13. Связь ТМ №4 и 8 коллектора""";"ПАО ""ИРКУТСКЭНЕРГО""";13494937;23.04.2020
1592;Выполнение работ по восстановлению нарушенного благоустройства после проведения аварийных работ в период с 01.11.2019 по 01.11.2020 Кировский район на филиале УТС Н-ИТЭЦ г.Иркутск;"ПАО ""ИРКУТСКЭНЕРГО""";12000000;08.04.2020
1593;"Лот №1: Оказание услуг по гидроуборке тракта топливоподачи Н-ИТЭЦ;";"ПАО ""ИРКУТСКЭНЕРГО""";11490000;25.03.2020
1594;Лот №2: Выполнение строительно-монтажных работ по объекту: Теплосеть квартал 93 (инв. № 3030101). Участок от ТК-14 ул. К. Маркса до ТК-1 кв. 93. Техническое перевооружение.;"ПАО ""ИРКУТСКЭНЕРГО""";8258641;16.04.2020
1595;Выполнение работ по восстановлению нарушенного благоустройства после проведения аварийных работ в период с 01.11.2019 по 01.11.2020 Октябрьский район на филиале УТС Н-ИТЭЦ г.Иркутск;"ПАО ""ИРКУТСКЭНЕРГО""";10000000;08.04.2020
1596;"Выполнение строительно-монтажных работ по техническому перевооружению магистральной тепловой сети ""Восточная"" участок ТК 43-ТК 44 на объекте ""Магистральная тепловая сеть ""Восточная""от тепловой камеры № 15 до тепловой камеры № 49 (инв.№03511446)";"ПАО ""ИРКУТСКЭНЕРГО""";9645040;02.04.2020
1597;Выполнение работ по ремонту внутриквартальной тепловой сети 41а квартала РТС-2 с восстановлением благоустройства на филиале ТЭЦ-6 ТИиТС в г. Братске (Падунский район);"ПАО ""ИРКУТСКЭНЕРГО""";9368562;07.04.2020
1598;Выполнение работ по восстановлению нарушенного благоустройства после проведения шурфовок трубопроводов на филиале УТС Н-ИТЭЦ г.Иркутск;"ПАО ""ИРКУТСКЭНЕРГО""";8000000;08.04.2020
1599;"Выполнение строительно-монтажных работ по объекту ""Техническое перевооружение участка магистральной тепловой сети от ТК-57 до ТК-58 с восстановлением благоустройства""";"ПАО ""ИРКУТСКЭНЕРГО""";7385628;21.04.2020
1600;"Лот №4: Оказание услуг по уборке производственных, служебно-бытовых помещений;";"ПАО ""ИРКУТСКЭНЕРГО""";6606654;25.03.2020
1601;"Лот №10: Оказание услуг по уборке производственных, служебно-бытовых помещений и территории;";"ПАО ""ИРКУТСКЭНЕРГО""";6318000;25.03.2020
1602;Лот №3: Выполнение работ по ремонту ж/д путей на филиале НИТЭЦ в г. Иркутске;"ПАО ""ИРКУТСКЭНЕРГО""";6449201;23.03.2020
1603;Лот №1: Выполнение строительно-монтажных работ по объекту: ТЕПЛОСЕТЬ квартал 92. Техническое перевооружение участка тепловой сети от ТК23 до д. №3 квартала 92.;"ПАО ""ИРКУТСКЭНЕРГО""";5649480;16.04.2020
1604;Выполнение работ по ремонту маркировочной окраски дымовой трубы № 2 на филиале У-ИТЭЦ в г.Усть-Илимске;"ПАО ""ИРКУТСКЭНЕРГО""";7825064;30.04.2020
1605;Лот №4: Выполнение работ по ремонту железнодорожных путей на филиале ТЭЦ-9 в г.Ангарске;"ПАО ""ИРКУТСКЭНЕРГО""";5375190;23.03.2020
1606;"Лот №5: Оказание услуг по уборке производственных, служебно-бытовых помещений и территории;";"ПАО ""ИРКУТСКЭНЕРГО""";5838000;25.03.2020
1607;"Лот №13: Оказание услуг по обслуживанию и уборке служебных и производственных помещений, территории Ново-Зиминской ТЭЦ;";"ПАО ""ИРКУТСКЭНЕРГО""";4845424;25.03.2020
1608;"Выполнение работ по разработке проектной и рабочей документации по объекту ""Котлоагрегат ст.№5. Инв. № 00004273. Техническое перевооружение золоулавливающих установок котлоагрегата.""";"ПАО ""ИРКУТСКЭНЕРГО""";4737532;22.05.2020
1609;"Восстановление нарушенного благоустройства территории по объекту: ""Тепловая сеть от участка тепловой сети от ТК-18Д-3'-7 до здания элеваторного узла и от ТК-18Д-3'-7-6-1 до здания по улице Декабрьских Событий, 119 до границы земельного участка с кадастровым номером 38:36:000020:1923""";"ПАО ""ИРКУТСКЭНЕРГО""";4284164;08.04.2020
1610;"Лот №2: Выполнение работ по плановому ремонту тепловых сетей на участке: ""Тепловые сети 12 коллектора, Резервная перемычка от ТК-49 до «ТНС-3(от ТК-6к-1 до ТК-6к-3, ул. Академическая, 60)инв №22130514 ;""Т/С ЧАЙКОВСКОГО,20(от ТК-86-15 до ТК-86-15-3, ул. Чайковского, 20)инв №00030091"" ; ""Т/С М/ПЕPВМ.АЛМАЗь .СИБИРЯКА, (от ТК-VI-10-4 до ТК-VI-10-6, мкр. Первомайский, 74)инв №00090596"" на филиале УТС Н-ИТЭЦ г.Иркутск";"ПАО ""ИРКУТСКЭНЕРГО""";4029221;07.04.2020
1611;Выполнение работ по восстановлению асфальтового покрытия и газона после устранения повреждений на тепловых сетях для филиала УТС ТЭЦ-9 в г.Ангарске;"ПАО ""ИРКУТСКЭНЕРГО""";3900000;08.04.2020
1612;Выполнение непредвиденных работ по восстановлению благоустройства территории после проведения ремонтов тепловых, водопроводных и канализационных сетей города Усть-Илимска;"ПАО ""ИРКУТСКЭНЕРГО""";3950000;08.04.2020
1613;Лот №2 Ремонт трубопроводов РС-5 на участках тепловой сети от ТК-5-1-15 до ТК-5-1-17 в г. Усолье-Сибирское;"ПАО ""ИРКУТСКЭНЕРГО""";3897253;07.04.2020
1614;"Лот №3: Оказание услуг по уборке производственных помещений (в труднодоступных местах и условиях действующего оборудования);";"ПАО ""ИРКУТСКЭНЕРГО""";3813435;25.03.2020
1615;Ремонт участков трубопроводов РС-30 и РС-11 в г. Усолье-Сибирское;"ПАО ""ИРКУТСКЭНЕРГО""";3634159;07.04.2020
1616;"Лот №3: Выполнение работ по плановому ремонту тепловых сетей на участке: ""Тепловые сети 2 коллектора от ТК-1Б до ТК-3Б по ул. Сурикова(От ТК-3Б до ул.Марата,2)инв №22130323"";""Т/С УЛ.К.МАРКСА1. УЛ.СВЕРД19, (от ТК-11Б-3 до ТК-11Б-5)инв №00014024"" ;""Т/С КИР. ТРЕСТА ДОМОУПP 1,2,3 по ул Грязнова 5, (От ТК-24В до Итп по ул.Фурье,15)инв №00090192"" на филиале УТС Н-ИТЭЦ г.Иркутск";"ПАО ""ИРКУТСКЭНЕРГО""";4181667;07.04.2020
1617;Выполнение работ по ремонту дорожного полотна на филиале ТЭЦ-10 в г. Ангарске;"ПАО ""ИРКУТСКЭНЕРГО""";3264043;08.04.2020
1618;Выполнение строительно-монтажных работ по объекту: «Сооружения для передачи паро-вых нагрузок, химически очищенной воды и возврата конденсата с участка №1 ТЭЦ-9 на участок ТЭЦ-9. Трубопроводы пара, ХОВ, возврата конденсата» (Усиление конструкций эстакад. Дренажные колодцы. Восстановление благоустройства);"ПАО ""ИРКУТСКЭНЕРГО""";50270300;08.04.2020
1619;Ремонт объектов энергетики;"Федеральное государственное унитарное предприятие ""Российский Федеральный Ядерный Центр - Всероссийский научно-исследовательский институт технической физики имени академика Е.И.Забабахина""";24858350;12.05.2020
1620;"Лот №8: Оказание услуг по уборке производственных, служебно-бытовых помещений и территории, включая услуги прачечной;";"ПАО ""ИРКУТСКЭНЕРГО""";25910562;25.03.2020
1621;"Лот №2: Оказание услуг по уборке производственных, служебно-бытовых помещений;";"ПАО ""ИРКУТСКЭНЕРГО""";25765587;25.03.2020
1622;Лот №15: Оказание услуг по уборке производственных, административных и бытовых помещений филиала У-ИТЭЦ в г. Усть-Илимске.;"ПАО ""ИРКУТСКЭНЕРГО""";24452532;25.03.2020
1623;"Выполнение строительно-монтажных работ по объекту: ""Тепловая сеть №29/2015/500-17-2018 до границы земельного участка Заявителя""";"ПАО ""ИРКУТСКЭНЕРГО""";21923647;10.04.2020
1624;"Лот №9: Оказание услуг по уборке производственных, служебно-бытовых помещений и территории, включая услуги прачечной;";"ПАО ""ИРКУТСКЭНЕРГО""";23692376;25.03.2020
1625;"Выполнение строительно-монтажных работ по объекту: ""ЗДАНИЕ ГЛАВНОГО КОРПУСА (инв. №1710000004). Модернизация. Замена кровельного покрытия машинного зала в осях 28-63""";"ПАО ""ИРКУТСКЭНЕРГО""";18292728;08.04.2020
1626;"Лот №6: Оказание услуг по уборке производственных, служебно-бытовых помещений на филиале ТЭЦ-6 ТИиТС в г. Братске;";"ПАО ""ИРКУТСКЭНЕРГО""";16400000;25.03.2020
1627;"Выполнение строительно-монтажных работ по объекту: ""Тепловые сети 11 коллектора от Ново-Иркутской ТЭЦ, переход по Ангарскому мосту (от ТП-11 до ТК-161) инв. №22130461. Техническое перевооружение участков обходов русловых опор под Глазковским мостом""";"ПАО ""ИРКУТСКЭНЕРГО""";17269263;16.04.2020
1628;"Лот №7: Оказание услуг по уборке производственных, служебно-бытовых помещений и территории на филиале ПАО «Иркутскэнерго» ТЭЦ-6 в г.Братске;";"ПАО ""ИРКУТСКЭНЕРГО""";14967000;25.03.2020
1629;Выполнение работ по ремонту внутриквартальной тепловой сети 13 микрорайона РТС-1 с восстановлением благоустройства на филиале ТЭЦ-6 ТИиТС в г. Братске (Центральный район);"ПАО ""ИРКУТСКЭНЕРГО""";14302335;07.04.2020
1630;Выполнение работ по восстановлению нарушенного благоустройства после проведения аварийных работ в период с 01.11.2019 по 01.11.2020 Свердловский округ на филиале УТС Н-ИТЭЦ г.Иркутск;"ПАО ""ИРКУТСКЭНЕРГО""";12000000;08.04.2020
1631;"Выполнение строительно-монтажных работ по объекту: ""Тепловая сеть от 4ТК-11' до ТК-37Д'-12-11-13. Связь ТМ №4 и 8 коллектора""";"ПАО ""ИРКУТСКЭНЕРГО""";13494937;23.04.2020
1632;Выполнение работ по восстановлению нарушенного благоустройства после проведения аварийных работ в период с 01.11.2019 по 01.11.2020 Кировский район на филиале УТС Н-ИТЭЦ г.Иркутск;"ПАО ""ИРКУТСКЭНЕРГО""";12000000;08.04.2020
1633;"Лот №1: Оказание услуг по гидроуборке тракта топливоподачи Н-ИТЭЦ;";"ПАО ""ИРКУТСКЭНЕРГО""";11490000;25.03.2020
1634;Выполнение работ по восстановлению нарушенного благоустройства после проведения аварийных работ в период с 01.11.2019 по 01.11.2020 Октябрьский район на филиале УТС Н-ИТЭЦ г.Иркутск;"ПАО ""ИРКУТСКЭНЕРГО""";10000000;08.04.2020
1635;"Выполнение строительно-монтажных работ по техническому перевооружению магистральной тепловой сети ""Восточная"" участок ТК 43-ТК 44 на объекте ""Магистральная тепловая сеть ""Восточная""от тепловой камеры № 15 до тепловой камеры № 49 (инв.№03511446)";"ПАО ""ИРКУТСКЭНЕРГО""";9645040;02.04.2020
1636;Выполнение работ по ремонту внутриквартальной тепловой сети 41а квартала РТС-2 с восстановлением благоустройства на филиале ТЭЦ-6 ТИиТС в г. Братске (Падунский район);"ПАО ""ИРКУТСКЭНЕРГО""";9368562;07.04.2020
1637;Лот №2: Выполнение строительно-монтажных работ по объекту: Теплосеть квартал 93 (инв. № 3030101). Участок от ТК-14 ул. К. Маркса до ТК-1 кв. 93. Техническое перевооружение.;"ПАО ""ИРКУТСКЭНЕРГО""";8258641;16.04.2020
1638;"Выполнение строительно-монтажных работ по объекту ""Техническое перевооружение участка магистральной тепловой сети от ТК-57 до ТК-58 с восстановлением благоустройства""";"ПАО ""ИРКУТСКЭНЕРГО""";7385628;21.04.2020
1639;Лот №1: Выполнение строительно-монтажных работ по объекту: ТЕПЛОСЕТЬ квартал 92. Техническое перевооружение участка тепловой сети от ТК23 до д. №3 квартала 92.;"ПАО ""ИРКУТСКЭНЕРГО""";5649480;16.04.2020
1640;"Лот №4: Оказание услуг по уборке производственных, служебно-бытовых помещений;";"ПАО ""ИРКУТСКЭНЕРГО""";6606654;25.03.2020
1641;Выполнение работ по восстановлению нарушенного благоустройства после проведения шурфовок трубопроводов на филиале УТС Н-ИТЭЦ г.Иркутск;"ПАО ""ИРКУТСКЭНЕРГО""";8000000;08.04.2020
1642;Лот №4: Выполнение работ по ремонту железнодорожных путей на филиале ТЭЦ-9 в г.Ангарске;"ПАО ""ИРКУТСКЭНЕРГО""";5375190;23.03.2020
1643;"Лот №13: Оказание услуг по обслуживанию и уборке служебных и производственных помещений, территории Ново-Зиминской ТЭЦ;";"ПАО ""ИРКУТСКЭНЕРГО""";4845424;25.03.2020
1644;Выполнение работ по ремонту маркировочной окраски дымовой трубы № 2 на филиале У-ИТЭЦ в г.Усть-Илимске;"ПАО ""ИРКУТСКЭНЕРГО""";7825064;30.04.2020
1645;"Лот №2: Выполнение работ по плановому ремонту тепловых сетей на участке: ""Тепловые сети 12 коллектора, Резервная перемычка от ТК-49 до «ТНС-3(от ТК-6к-1 до ТК-6к-3, ул. Академическая, 60)инв №22130514 ;""Т/С ЧАЙКОВСКОГО,20(от ТК-86-15 до ТК-86-15-3, ул. Чайковского, 20)инв №00030091"" ; ""Т/С М/ПЕPВМ.АЛМАЗь .СИБИРЯКА, (от ТК-VI-10-4 до ТК-VI-10-6, мкр. Первомайский, 74)инв №00090596"" на филиале УТС Н-ИТЭЦ г.Иркутск";"ПАО ""ИРКУТСКЭНЕРГО""";4029221;07.04.2020
1646;Выполнение работ по восстановлению асфальтового покрытия и газона после устранения повреждений на тепловых сетях для филиала УТС ТЭЦ-9 в г.Ангарске;"ПАО ""ИРКУТСКЭНЕРГО""";3900000;08.04.2020
1647;Лот №3: Выполнение работ по ремонту ж/д путей на филиале НИТЭЦ в г. Иркутске;"ПАО ""ИРКУТСКЭНЕРГО""";6449201;23.03.2020
1648;"Лот №10: Оказание услуг по уборке производственных, служебно-бытовых помещений и территории;";"ПАО ""ИРКУТСКЭНЕРГО""";6318000;25.03.2020
1649;"Восстановление нарушенного благоустройства территории по объекту: ""Тепловая сеть от участка тепловой сети от ТК-18Д-3'-7 до здания элеваторного узла и от ТК-18Д-3'-7-6-1 до здания по улице Декабрьских Событий, 119 до границы земельного участка с кадастровым номером 38:36:000020:1923""";"ПАО ""ИРКУТСКЭНЕРГО""";4284164;08.04.2020
1650;Выполнение работ по ремонту дорожного полотна на филиале ТЭЦ-10 в г. Ангарске;"ПАО ""ИРКУТСКЭНЕРГО""";3264043;08.04.2020
1651;"Лот №5: Оказание услуг по уборке производственных, служебно-бытовых помещений и территории;";"ПАО ""ИРКУТСКЭНЕРГО""";5838000;25.03.2020
1652;Выполнение общестроительных работ по ремонту на филиале ТЭЦ -11 в г. Усолье-Сибирское;"ПАО ""ИРКУТСКЭНЕРГО""";3044977;13.04.2020
1653;Выполнение работ по техническому обслуживанию компрессоров на филиале ТЭЦ-6 в г. Братске;"ПАО ""ИРКУТСКЭНЕРГО""";2426593;04.06.2020
1654;"Выполнение работ по разработке проектной и рабочей документации по объекту ""Котлоагрегат ст.№5. Инв. № 00004273. Техническое перевооружение золоулавливающих установок котлоагрегата.""";"ПАО ""ИРКУТСКЭНЕРГО""";4737532;22.05.2020
1655;"Лот №14: Оказание услуг по уборке территории филиала У-ИТЭЦ в г. Усть-Илимске;";"ПАО ""ИРКУТСКЭНЕРГО""";2997161;25.03.2020
1656;Лот №6: Выполнение работ по ремонту ЖД пути № 9 КО на филиале ТЭЦ-10 в г. Ангарске;"ПАО ""ИРКУТСКЭНЕРГО""";2031913;23.03.2020
1657;Выполнение работ по ремонту кровель зданий и сооружений на филиале ТЭЦ-6 в г. Братске;"ПАО ""ИРКУТСКЭНЕРГО""";2987147;17.04.2020
1658;Выполнение строительно-монтажных работ по объекту: «Сооружения для передачи паро-вых нагрузок, химически очищенной воды и возврата конденсата с участка №1 ТЭЦ-9 на участок ТЭЦ-9. Трубопроводы пара, ХОВ, возврата конденсата» (Усиление конструкций эстакад. Дренажные колодцы. Восстановление благоустройства);"ПАО ""ИРКУТСКЭНЕРГО""";50270300;08.04.2020
1659;Ремонт объектов энергетики;"Федеральное государственное унитарное предприятие ""Российский Федеральный Ядерный Центр - Всероссийский научно-исследовательский институт технической физики имени академика Е.И.Забабахина""";24858350;12.05.2020
1660;"Лот №8: Оказание услуг по уборке производственных, служебно-бытовых помещений и территории, включая услуги прачечной;";"ПАО ""ИРКУТСКЭНЕРГО""";25910562;25.03.2020
1661;"Лот №2: Оказание услуг по уборке производственных, служебно-бытовых помещений;";"ПАО ""ИРКУТСКЭНЕРГО""";25765587;25.03.2020
1662;"Выполнение строительно-монтажных работ по объекту: ""Тепловая сеть №29/2015/500-17-2018 до границы земельного участка Заявителя""";"ПАО ""ИРКУТСКЭНЕРГО""";21923647;10.04.2020
1663;Лот №15: Оказание услуг по уборке производственных, административных и бытовых помещений филиала У-ИТЭЦ в г. Усть-Илимске.;"ПАО ""ИРКУТСКЭНЕРГО""";24452532;25.03.2020
1664;"Лот №9: Оказание услуг по уборке производственных, служебно-бытовых помещений и территории, включая услуги прачечной;";"ПАО ""ИРКУТСКЭНЕРГО""";23692376;25.03.2020
1665;"Выполнение строительно-монтажных работ по объекту: ""ЗДАНИЕ ГЛАВНОГО КОРПУСА (инв. №1710000004). Модернизация. Замена кровельного покрытия машинного зала в осях 28-63""";"ПАО ""ИРКУТСКЭНЕРГО""";18292728;08.04.2020
1666;"Выполнение строительно-монтажных работ по объекту: ""Тепловые сети 11 коллектора от Ново-Иркутской ТЭЦ, переход по Ангарскому мосту (от ТП-11 до ТК-161) инв. №22130461. Техническое перевооружение участков обходов русловых опор под Глазковским мостом""";"ПАО ""ИРКУТСКЭНЕРГО""";17269263;16.04.2020
1667;"Лот №7: Оказание услуг по уборке производственных, служебно-бытовых помещений и территории на филиале ПАО «Иркутскэнерго» ТЭЦ-6 в г.Братске;";"ПАО ""ИРКУТСКЭНЕРГО""";14967000;25.03.2020
1668;"Лот №6: Оказание услуг по уборке производственных, служебно-бытовых помещений на филиале ТЭЦ-6 ТИиТС в г. Братске;";"ПАО ""ИРКУТСКЭНЕРГО""";16400000;25.03.2020
1669;Выполнение работ по восстановлению нарушенного благоустройства после проведения аварийных работ в период с 01.11.2019 по 01.11.2020 Свердловский округ на филиале УТС Н-ИТЭЦ г.Иркутск;"ПАО ""ИРКУТСКЭНЕРГО""";12000000;08.04.2020
1670;Выполнение работ по ремонту внутриквартальной тепловой сети 13 микрорайона РТС-1 с восстановлением благоустройства на филиале ТЭЦ-6 ТИиТС в г. Братске (Центральный район);"ПАО ""ИРКУТСКЭНЕРГО""";14302335;07.04.2020
1671;"Лот №1: Оказание услуг по гидроуборке тракта топливоподачи Н-ИТЭЦ;";"ПАО ""ИРКУТСКЭНЕРГО""";11490000;25.03.2020
1672;"Выполнение строительно-монтажных работ по объекту: ""Тепловая сеть от 4ТК-11' до ТК-37Д'-12-11-13. Связь ТМ №4 и 8 коллектора""";"ПАО ""ИРКУТСКЭНЕРГО""";13494937;23.04.2020
1673;Выполнение работ по восстановлению нарушенного благоустройства после проведения аварийных работ в период с 01.11.2019 по 01.11.2020 Кировский район на филиале УТС Н-ИТЭЦ г.Иркутск;"ПАО ""ИРКУТСКЭНЕРГО""";12000000;08.04.2020
1674;Лот №2: Выполнение строительно-монтажных работ по объекту: Теплосеть квартал 93 (инв. № 3030101). Участок от ТК-14 ул. К. Маркса до ТК-1 кв. 93. Техническое перевооружение.;"ПАО ""ИРКУТСКЭНЕРГО""";8258641;16.04.2020
1675;Выполнение работ по восстановлению нарушенного благоустройства после проведения аварийных работ в период с 01.11.2019 по 01.11.2020 Октябрьский район на филиале УТС Н-ИТЭЦ г.Иркутск;"ПАО ""ИРКУТСКЭНЕРГО""";10000000;08.04.2020
1676;"Выполнение строительно-монтажных работ по техническому перевооружению магистральной тепловой сети ""Восточная"" участок ТК 43-ТК 44 на объекте ""Магистральная тепловая сеть ""Восточная""от тепловой камеры № 15 до тепловой камеры № 49 (инв.№03511446)";"ПАО ""ИРКУТСКЭНЕРГО""";9645040;02.04.2020
1677;Выполнение работ по ремонту внутриквартальной тепловой сети 41а квартала РТС-2 с восстановлением благоустройства на филиале ТЭЦ-6 ТИиТС в г. Братске (Падунский район);"ПАО ""ИРКУТСКЭНЕРГО""";9368562;07.04.2020
1678;"Лот №6: Выполнение работ по плановому ремонту тепловых сетей на участке: ""Тепловые сети 5 коллектора от ТК-5Д до ТК-5Д-3 по пер. Пугачева(от ТК-5Д-1 до ТК-5Д-3)инв №22130268""; Т/с марта,2 (От ТК-11Д-2-6-1 до ТК-23В-7)инв №00090730;""Т/С ОТ ТК-11Д-3 ДО Ж/Д БАБУШКИНА,14,(От ТК-11Д-3 до ТК-11Д-3-3)инв №00090386; ""Т/С К ЗД. АРБИТР.СУДА, б. ГАГАРИНА,70,(От ТК-15Г-4 до ТК 15Г-6)инв №00092236 ""на филиале УТС Н-ИТЭЦ г.Иркутск";"ПАО ""ИРКУТСКЭНЕРГО""";18196897;15.05.2020
1679;"Выполнение строительно-монтажных работ по техническому перевооружению внутриквартальной тепловой сети 13 микрорайона - участок ТК-13-8 - ТК-13-9б на объекте ""Внутриквартальная тепловая сеть 13 микрорайона"". Инв. № 03511481";"ПАО ""ИРКУТСКЭНЕРГО""
Заказчик:ПАО ""ИРКУТСКЭНЕРГО""";11736035;29.05.2020
1680;"Лот №1: Выполнение работ по плановому ремонту тепловых сетей на участке ""Т/С УЛ.ПУШКИНА,19, (от ТК93-10-15 до ТК-96-18 ул.Пушкина,8а)инв №00092125"";""ЗДАНИЕ ЦТП, г. Иркутск, в районе ул.Николая Вилкова,1, (от ТК-96-18 до ТК-96-18-3, ул. Пушкина, 4)инв №00093104 на филиале УТС Н-ИТЭЦ г.Иркутск";"ПАО ""ИРКУТСКЭНЕРГО""";13247120;15.05.2020
1681;"Лот №2: Выполнение работ по плановому ремонту тепловых сетей на участке: ""Тепловые сети 12 коллектора от ТК-63 до ТК-0 РК «Свердловская» по ул. Лермонтова(от ТК-66' до ТК-69, ул. Академическая, 1)инв№22130470"" на филиале УТС Н-ИТЭЦ г.Иркутск";"ПАО ""ИРКУТСКЭНЕРГО""";12991885;15.05.2020
