;Purchase;Organisation;Price;Date
1154;Открытый аукцион в электронной форме по выбору поставщика на право заключения с ГУП «Белгородский областной фонд поддержки индивидуального жилищного строительства» государственного контракта на поставку канализационной насосной станции заводского изготовления для объекта «Строительство сетей водоотведения и сооружений к ним МКР Юбилейный, Лесной, Северо-Западный (1-я очередь), Парковый, Учительский, в г. Губкине и с. Теплый Колодезь Губкинского района Белгородской области» (на сумму лимита 2013 года);Управление государственного заказа и лицензирования Белгородской области;2 044 260.00;16.05.2013
1155;Открытый аукцион в электронной форме (038- АЭФ) на право заключить муниципальный контракт на выполнение работ по ремонту дворовой территории, подъезда к дворовой территории и ремонту проезда к детским садам в г.Рославль Смоленской области.;"Администрация муниципального образования ""Рославльский район"" Смоленской области";2 494 545.00;29.04.2013
1156;Открытый аукцион в электронной форме (037- АЭФ) на право заключить муниципальный контракт на выполнение работ по ремонту асфальтобетонного дорожного покрытия проезда и устройство тротуара к детскому саду «Светлячок» в г.Рославль Смоленской области;"Администрация муниципального образования ""Рославльский район"" Смоленской области";2 772 729.00;29.04.2013
1157;Разработка схемы водоснабжения и водоотведения городского округа Красноуральск Свердловской области на период до 2023 года с выделением этапов;"Муниципальное казенное учреждение ""Управление жилищно-коммунального хозяйства и энергетики"" городского округа Красноуральск";3 500 000.00;13.05.2013
1158;Открытый аукцион в электронной форме на право заключить муниципальный контракт на выполнение подрядных работ по замене ветхих участков теплотрасс (2) в п. Усть-Камчатск Камчатского края;Управление жилищно-коммунального хозяйства, транспорта и энергетики администрации Усть-Камчатского муниципального района;6 085 868.00;13.05.2013
1159;Выполнение работ по ремонту гравийной дороги к городскому полигону по размещению твердых бытовых отходов (согласно сметному расчету);Администрация местного самоуправления г.Владикавказ;1 932 252.00;26.04.2013
1160;Поставка крана- манипулятора автомобильного (согласно спецификации);Администрация местного самоуправления г.Владикавказ;4 000 000.00;17.05.2013
1161;Открытый аукцион в электронной форме (036-аэф) на право заключить муниципальный контракт на выполнение работ по ремонту автомобильной дороги общего пользования местного значения по ул. 2-я Дачная в г. Рославль Смоленской области.;"Администрация муниципального образования ""Рославльский район"" Смоленской области";1 801 430.00;26.04.2013
1162;Поставка вакуумной (ассенизационной) машины (согласно спецификации);Администрация местного самоуправления г.Владикавказ;1 988 500.00;26.04.2013
1163;Открытый аукцион в электронной форме (035- АЭФ) на право заключить муниципальный контракт на выполнение работ по ремонту асфальтобетонного дорожного покрытия автомобильной дороги общего пользования местного значения по ул.Красноармейская (участок от ж/д № 49 по ул.Красноармейской до поворота к общежитию трикотажной фабрике) в г.Рославль Смоленской области.;"Администрация муниципального образования ""Рославльский район"" Смоленской области";6 256 504.00;13.05.2013
1164;поставка телескопического погрузчика с поворотной башней с высотой подъема 37 метров в количестве 1 ед. в 2013 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;9 620 524.74;20.05.2013
1165;Выполнение работ по строительству уличного освещения согласно перечня в г.Владикавказе.;Администрация местного самоуправления г.Владикавказ;18 562 900.00;17.05.2013
1166;Открытый аукцион в электронной форме на право заключения договора на оказание комплекса услуг по мойке транспортных средств и уборке салонов транспортных средств;"федеральное государственное бюджетное учреждение ""Российское энергетическое агентство"" Министерства энергетики Российской Федерации";912 880.00;22.04.2013
1167;Строительство объекта «Газоснабжение жилых домов в д.Дрянново Шадринского района Курганской области»;Комитет по управлению муниципальным имуществом, земельным ресурсам, промышленности, транспорту, связи и муниципальному заказу Администрации Шадринского района;5 605 470.00;17.05.2013
1168;Строительство объекта «Газоснабжение жилых домов в д.Кондакова Шадринского района Курганской области»;Комитет по управлению муниципальным имуществом, земельным ресурсам, промышленности, транспорту, связи и муниципальному заказу Администрации Шадринского района;1 692 500.00;22.04.2013
1169;Оказание услуг по содержанию объекта «Туристический культурный центр в муниципальном образовании «Муниципальный район «Заполярный район»;Управление государственного заказа Ненецкого автономного округа;659 596.00;22.04.2013
1170;на право заключения договора на поставку продуктов питания для нужд муниципального бюджетного дошкольного образовательного учреждения №6 детский сад общеразвивающего вида «Снежинка» п. Усть-Камчатск Усть-Камчатского района Камчатского края;Управление жилищно-коммунального хозяйства, транспорта и энергетики администрации Усть-Камчатского муниципального района;2 607 432.50;25.04.2013
1171;на право заключить муниципальный контракт на выполнение подрядных работ по устройству асфальтобетонного покрытия межквартальных, внутриквартальных и внутридворовых проездов и тротуаров в п. Усть-Камчатск Камчатского края;Управление жилищно-коммунального хозяйства, транспорта и энергетики администрации Усть-Камчатского муниципального района;18 869 762.00;13.05.2013
1172;выполнение ремонта дворовых территорий многоквартирных домов, подъездов к дворовым территориям многоквартирных домов, находящихся в собственности муниципальных образований Шадринского района Курганской области;Комитет по управлению муниципальным имуществом, земельным ресурсам, промышленности, транспорту, связи и муниципальному заказу Администрации Шадринского района;3 944 451.00;06.05.2013
1173;ремонт автомобильных дорог общего пользования местного значения западной части Шадринского района Курганской области;Комитет по управлению муниципальным имуществом, земельным ресурсам, промышленности, транспорту, связи и муниципальному заказу Администрации Шадринского района;4 035 426.00;06.05.2013
1174;ремонт автомобильных дорог общего пользования местного значения восточной части Шадринского района Курганской области;Комитет по управлению муниципальным имуществом, земельным ресурсам, промышленности, транспорту, связи и муниципальному заказу Администрации Шадринского района;4 011 133.00;06.05.2013
1175;ремонт автомобильных дорог общего пользования местного значения южной части Шадринского района Курганской области;Комитет по управлению муниципальным имуществом, земельным ресурсам, промышленности, транспорту, связи и муниципальному заказу Администрации Шадринского района;4 060 854.00;06.05.2013
1176;ремонт автомобильных дорог общего пользования местного значения северной части Шадринского района Курганской области;Комитет по управлению муниципальным имуществом, земельным ресурсам, промышленности, транспорту, связи и муниципальному заказу Администрации Шадринского района;4 219 938.00;06.05.2013
1177;Приобретение 2 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «Город Димитровград», введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;1 752 300.00;29.04.2013
1178;Приобретение 3 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «город Ульяновск», введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;2 628 450.00;29.04.2013
1179;Приобретение 3 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «город Ульяновск», введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;2 628 450.00;29.04.2013
1180;Приобретение 3 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «город Ульяновск», введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;2 628 450.00;29.04.2013
1181;Приобретение 3 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «город Ульяновск», введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;2 628 450.00;29.04.2013
1182;Приобретение 3 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «город Ульяновск», введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;2 628 450.00;29.04.2013
1183;Приобретение 3 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «город Ульяновск», введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;2 628 450.00;29.04.2013
1184;Приобретение 3 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «город Ульяновск», введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;2 628 450.00;29.04.2013
1185;Приобретение 3 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «город Ульяновск», введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;2 628 450.00;29.04.2013
1186;Приобретение 3 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «город Ульяновск», введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;2 628 450.00;29.04.2013
1187;Приобретение 3 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «город Ульяновск», введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;2 628 450.00;29.04.2013
1188;Приобретение 1 однокомнатной квартиры общей площадью не менее 33 квадратных метров в многоквартирном доме, расположенном в Ульяновской области на территории муниципального образования «город Ульяновск», введённого в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;876 150.00;29.04.2013
1189;Приобретение 3 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «город Ульяновск», введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;2 628 450.00;29.04.2013
1190;Приобретение 3 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «город Ульяновск», введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;2 628 450.00;29.04.2013
1191;АЭР-17/13 Выполнение работ по ремонту двух кирпичных дымовых труб для теплоэнергетической службы управления главного энергетика;"федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Санкт-Петербургский государственный политехнический университет""";494 783.49;19.04.2013
1192;Приобретение 3 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «город Ульяновск», введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;2 628 450.00;29.04.2013
1193;Поставка музыкальных инструментов;Управление муниципальной собственности администрации города Троицка;766 749.70;22.04.2013
1194;Приобретение 3 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «город Ульяновск», введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;2 628 450.00;29.04.2013
1195;Приобретение 3 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «город Ульяновск», введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;2 628 450.00;29.04.2013
1196;Приобретение 3 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «город Ульяновск», введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;2 628 450.00;29.04.2013
1197;Приобретение 3 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «город Ульяновск», введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;2 628 450.00;29.04.2013
1198;Приобретение 3 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «город Ульяновск», введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;2 628 450.00;29.04.2013
1199;Приобретение 3 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «город Ульяновск», введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;2 628 450.00;29.04.2013
1200;Приобретение 3 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «Новоспасский район», в районном посёлке Новоспасское, введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;2 628 450.00;29.04.2013
1201;Приобретение 1 однокомнатной квартиры общей площадью не менее 33 квадратных метров в многоквартирном доме, расположенном в Ульяновской области на территории муниципального образования «Базарносызганский район», в районном посёлке Базарный Сызган, введённого в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;876 150.00;29.04.2013
1202;Приобретение 1 однокомнатной квартиры общей площадью не менее 33 квадратных метров в многоквартирном доме, расположенном в Ульяновской области на территории муниципального образования «Павловский район», в районном посёлке Павловка, введённого в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;876 150.00;29.04.2013
1203;Приобретение 2 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «Кузоватовский район», в районном посёлке Кузоватово, введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;1 752 300.00;29.04.2013
1204;Приобретение 2 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «Сенгилеевский район», в городе Сенгилей, введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;1 752 300.00;29.04.2013
1205;Приобретение 2 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «Сенгилеевский район», в городе Сенгилей, введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;1 752 300.00;29.04.2013
1206;Приобретение 2 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «Барышский район», в городе Барыш, введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;1 752 300.00;29.04.2013
1207;Приобретение 2 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «Радищевский район», в районном посёлке Радищево, введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;1 752 300.00;29.04.2013
1208;Приобретение 1 однокомнатной квартиры общей площадью не менее 33 квадратных метров в многоквартирном доме, расположенном в Ульяновской области на территории муниципального образования «Сурский район», в районном посёлке Сурское, введённого в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;876 150.00;29.04.2013
1209;"Приобретение 2 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования ""Старомайнский район"", в районном посёлке Старая Майна, введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений";Министерство экономики Ульяновской области;1 752 300.00;29.04.2013
1210;Приобретение 2 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «Старомайнский район», в районном посёлке Старая Майна, введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;1 752 300.00;29.04.2013
